date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors
1984-09-28,2222.643219662932,2306.4797430743333,1500.0,2163.6771926638735,2166.7191159219938
1984-10-08,2222.643219662932,2306.4797430743333,1500.0,2155.4203564303048,2166.7191159219938
1984-10-15,2222.643219662932,2306.4797430743333,1500.0,2145.4762647671905,2167.796344774334
1984-10-29,2222.643219662932,2313.5066128042777,1500.0,2145.4762647671905,2180.527405768741
1984-11-05,2222.643219662932,2313.5066128042777,1500.0,2145.965850771712,2171.270020484266
1984-11-26,2222.643219662932,2313.5066128042777,1500.0,2164.0670612433046,2171.270020484266
1984-12-16,2222.643219662932,2303.362729998357,1500.0,2164.0670612433046,2163.567375469838
1985-01-08,2222.643219662932,2304.8238803333543,1500.0,2153.6457084569474,2166.183190016263
1985-01-21,2222.643219662932,2313.7396068029093,1500.0,2153.6457084569474,2159.8210865758297
1985-01-28,2222.643219662932,2313.7396068029093,1500.0,2153.6457084569474,2141.72514025222
1985-02-04,2222.643219662932,2313.7396068029093,1500.0,2157.2556473081563,2141.72514025222
1985-02-18,2222.643219662932,2313.7396068029093,1500.0,2157.2556473081563,2142.2563101210544
1985-02-25,2222.643219662932,2317.9426925654598,1500.0,2157.2556473081563,2142.2563101210544
1985-03-25,2222.643219662932,2324.1256149450664,1500.0,2159.6517333601337,2132.806928694036
1985-04-01,2222.643219662932,2324.346595641743,1500.0,2160.0329461504634,2135.54144596891
1985-04-08,2222.643219662932,2315.791443076016,1500.0,2180.134997680187,2140.302629455826
1985-04-22,2222.643219662932,2316.47094069761,1500.0,2180.134997680187,2140.302629455826
1985-04-29,2222.643219662932,2316.47094069761,1500.0,2180.134997680187,2122.259616268525
1985-05-06,2222.643219662932,2311.3969581377632,1500.0,2180.405499664077,2122.259616268525
1985-05-20,2222.643219662932,2301.158298020742,1500.0,2186.5268140874186,2114.7958274426273
1985-05-27,2222.643219662932,2302.7389562684884,1500.0,2196.431487999111,2115.135404195193
1985-06-10,2222.643219662932,2302.7389562684884,1500.0,2196.431487999111,2102.9918013400347
1985-06-24,2222.643219662932,2280.3719492237956,1500.0,2184.4725066447118,2103.7884969886886
1985-07-15,2222.643219662932,2280.3719492237956,1500.0,2184.4725066447118,2091.560860756501
1985-07-22,2222.643219662932,2280.3719492237956,1500.0,2185.2604818177515,2091.560860756501
1985-08-02,2222.643219662932,2280.3719492237956,1500.0,2194.5709402098237,2091.560860756501
1985-08-05,2222.643219662932,2280.514607212542,1500.0,2202.9111408162794,2093.222961593859
1985-08-12,2222.643219662932,2289.205086739176,1500.0,2197.9582283804098,2094.595706350942
1985-08-27,2222.643219662932,2303.560559145062,1500.0,2198.899381814459,2102.256821969401
1985-09-09,2222.643219662932,2303.560559145062,1500.0,2224.06545414768,2102.256821969401
1985-09-16,2222.643219662932,2297.00624325727,1500.0,2224.06545414768,2102.256821969401
1985-09-23,2222.643219662932,2285.20644678199,1500.0,2224.06545414768,2102.256821969401
1985-10-14,2222.643219662932,2285.20644678199,1500.0,2224.157416311558,2102.256821969401
1985-10-21,2222.643219662932,2285.20644678199,1500.0,2231.7645474758997,2100.2626341508376
1985-11-04,2222.643219662932,2272.406298868958,1500.0,2231.7645474758997,2100.2626341508376
1985-11-11,2222.643219662932,2272.406298868958,1500.0,2238.132648670742,2100.2626341508376
1985-11-25,2222.643219662932,2277.552666645077,1500.0,2245.5569522257647,2100.2626341508376
1986-01-14,2222.643219662932,2248.980806625453,1500.0,2233.4601842587663,2100.2626341508376
1986-01-27,2222.643219662932,2248.980806625453,1500.0,2242.086371646977,2096.564349037744
1986-02-03,2222.643219662932,2248.980806625453,1500.0,2242.086371646977,2091.855976540202
1986-02-10,2222.643219662932,2248.980806625453,1500.0,2246.134314045677,2082.700515171731
1986-02-24,2222.643219662932,2248.980806625453,1500.0,2246.134314045677,2087.788468814585
1986-03-10,2222.643219662932,2248.980806625453,1500.0,2259.8530777771734,2087.788468814585
1986-03-17,2222.643219662932,2248.980806625453,1500.0,2262.813588324802,2084.4909930983094
1986-03-24,2222.643219662932,2248.980806625453,1500.0,2261.216967981417,2085.1998129723083
