player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Li Tu,29.1,1535.4,1486.0,232.0,1440.0,270.0,1540.2,151.0,1633.5,2022-10,251.0,-0.09
George Loffhagen,24.5,1534.3,1489.3,229.0,1377.1,342.0,1449.4,257.0,1649.0,2025-07,200.0,0.14
Stefano Napolitano,30.4,1533.3,1468.7,251.0,1526.3,188.0,1485.5,201.0,1662.1,2024-05,525.0,-0.82
Oliver Tarvet,21.9,1532.5,1479.0,237.0,1516.3,199.0,1597.7,99.0,1735.2,2025-08,338.0,-0.38
Ricardas Berankis,35.1,1529.4,1490.1,228.0,1527.5,187.0,1510.6,179.0,1842.4,2011-02,407.0,-0.56
Thiago Seyboth Wild,25.5,1529.0,1535.1,179.0,1507.1,209.0,1476.6,217.0,1793.4,2024-05,214.0,0.09
James Trotter,26.1,1528.9,1503.3,214.0,1413.7,297.0,1442.2,272.0,1658.1,2025-01,260.0,-0.1
Clement Chidekh,24.2,1527.5,1502.8,215.0,1375.3,343.0,1463.8,231.0,1695.5,2024-03,234.0,0.01
Zdenek Kolar,29.0,1527.5,1450.6,270.0,1512.8,204.0,1460.4,239.0,1621.1,2021-09,223.0,0.06
Stefanos Sakellaridis,21.0,1526.6,1472.9,242.0,1525.7,190.0,1513.3,175.0,1590.2,2025-10,277.0,-0.15
Marc Andrea Huesler,29.3,1526.2,1503.4,213.0,1509.9,206.0,1477.7,215.0,1817.0,2023-02,258.0,-0.08
Marko Topo,22.1,1525.5,1468.4,252.0,1495.5,219.0,1472.0,221.0,1663.9,2022-04,284.0,-0.17
Stefano Travaglia,33.7,1524.3,1475.0,240.0,1514.7,203.0,1429.1,294.0,1793.8,2021-02,230.0,0.05
Alex Barrena,23.0,1524.3,1354.3,365.0,1512.1,205.0,1462.2,234.0,1596.1,2025-07,177.0,0.31
Jaime Faria,22.2,1524.0,1474.5,241.0,1499.8,216.0,1524.0,166.0,1692.5,2024-05,153.0,0.46
Norbert Gombos,35.2,1523.6,1482.4,235.0,1515.9,200.0,1443.3,268.0,1753.2,2020-11,296.0,-0.19
Christopher Eubanks,29.4,1523.4,1493.0,225.0,1414.6,294.0,1524.2,165.0,1864.8,2023-07,196.0,0.22
Beibit Zhukayev,25.0,1523.1,1471.7,243.0,1364.7,355.0,1543.6,146.0,1640.2,2023-11,282.0,-0.14
Tristan Boyer,24.5,1522.4,1509.8,209.0,1492.3,222.0,1433.6,288.0,1753.1,2025-01,145.0,0.53
Nerman Fatic,30.9,1521.1,1465.1,256.0,1490.5,225.0,1478.9,214.0,1584.4,2023-07,206.0,0.19
Duje Ajdukovic,24.7,1520.2,1512.2,203.0,1498.3,217.0,1374.0,387.0,1687.6,2024-09,322.0,-0.26
Matej Dodig,20.2,1520.2,1487.6,231.0,1460.5,253.0,1460.1,240.0,1601.7,2024-09,248.0,0.01
Federico Cina,18.5,1520.0,1491.8,227.0,1487.3,229.0,1460.0,241.0,1644.2,2025-06,209.0,0.18
Joel Schwaerzler,19.7,1519.9,1368.2,352.0,1505.2,211.0,1459.9,242.0,1621.9,2024-05,244.0,0.03
Dan Added,26.5,1518.9,1487.8,230.0,1361.7,358.0,1459.4,244.0,1547.1,2025-09,204.0,0.22
Edas Butvilas,21.2,1518.8,1504.4,212.0,1407.1,306.0,1443.4,267.0,1672.0,2024-09,267.0,-0.05
Johannus Monday,23.7,1518.5,1497.1,220.0,1369.3,349.0,1409.4,323.0,1551.9,2025-02,212.0,0.18
Kimmer Coppejans,31.7,1518.3,1465.4,254.0,1483.0,231.0,1442.6,271.0,1697.0,2015-04,191.0,0.29
Gregoire Barrere,31.5,1517.8,1494.5,223.0,1490.7,224.0,1518.2,171.0,1804.5,2020-02,413.0,-0.47
Rei Sakamoto,19.3,1516.8,1481.0,236.0,1399.6,311.0,1458.4,246.0,1656.2,2025-07,180.0,0.36
Lukas Neumayer,23.1,1515.0,1372.6,350.0,1503.1,213.0,1413.1,313.0,1600.2,2025-06,186.0,0.33
